timestamp,a100_timestamp,a100_sensor_id,a100_channel,a100_pressure_value,a100_status,a200_timestamp,a200_sensor_id,a200_channel,a200_pressure_value,a200_status,chiller_timestamp,chiller_current_temperature,chiller_set_temperature,chiller_status
2025-09-12 14:52:47.528993,2025-09-12 14:52:47.589229,A100,1,1010.9999999999999,OK,2025-09-12 14:52:47.637240,A200,2,0.01173,OK,2025-09-12 14:52:47.641241,22.96,16.0,OK
2025-09-12 14:52:48.150357,2025-09-12 14:52:48.213371,A100,1,1010.9999999999999,OK,2025-09-12 14:52:48.277386,A200,2,0.011779999999999999,OK,2025-09-12 14:52:48.281388,22.96,16.0,OK
2025-09-12 14:52:48.783907,2025-09-12 14:52:48.836919,A100,1,1010.9999999999999,OK,2025-09-12 14:52:48.900933,A200,2,0.011770000000000001,OK,2025-09-12 14:52:48.904934,22.96,16.0,OK
2025-09-12 14:52:49.420052,2025-09-12 14:52:49.477064,A100,1,1010.9999999999999,OK,2025-09-12 14:52:49.525075,A200,2,0.011859999999999999,OK,2025-09-12 14:52:49.528076,22.96,16.0,OK
2025-09-12 14:52:50.039671,2025-09-12 14:52:50.100685,A100,1,1010.9999999999999,OK,2025-09-12 14:52:50.148696,A200,2,0.011850000000000001,OK,2025-09-12 14:52:50.152697,22.95,16.0,OK
2025-09-12 14:52:50.662148,2025-09-12 14:52:50.724162,A100,1,1010.9999999999999,OK,2025-09-12 14:52:50.772173,A200,2,0.011859999999999999,OK,2025-09-12 14:52:50.776174,22.95,16.0,OK
2025-09-12 14:52:51.285713,2025-09-12 14:52:51.347727,A100,1,1010.9999999999999,OK,2025-09-12 14:52:51.411742,A200,2,0.01179,OK,2025-09-12 14:52:51.415743,22.95,16.0,OK
2025-09-12 14:52:51.923155,2025-09-12 14:52:51.972167,A100,1,1010.9999999999999,OK,2025-09-12 14:52:52.035501,A200,2,0.01184,OK,2025-09-12 14:52:52.038501,22.95,16.0,OK
2025-09-12 14:52:52.544723,2025-09-12 14:52:52.624741,A100,1,1010.9999999999999,OK,2025-09-12 14:52:52.768774,A200,2,0.0118,OK,2025-09-12 14:52:52.790779,22.95,16.0,OK
2025-09-12 14:52:53.307903,2025-09-12 14:52:53.362915,A100,1,1010.9999999999999,OK,2025-09-12 14:52:53.426930,A200,2,0.011810000000000001,OK,2025-09-12 14:52:53.430931,22.95,16.0,OK
2025-09-12 14:52:53.986331,2025-09-12 14:52:54.081353,A100,1,1010.9999999999999,OK,2025-09-12 14:52:54.132365,A200,2,0.011810000000000001,OK,2025-09-12 14:52:54.146368,22.95,16.0,OK
2025-09-12 14:52:54.650506,2025-09-12 14:52:54.706519,A100,1,1010.9999999999999,OK,2025-09-12 14:52:54.754530,A200,2,0.011779999999999999,OK,2025-09-12 14:52:54.758530,22.95,16.0,OK
2025-09-12 14:52:55.270190,2025-09-12 14:52:55.331203,A100,1,1010.9999999999999,OK,2025-09-12 14:52:55.378214,A200,2,0.011779999999999999,OK,2025-09-12 14:52:55.382215,22.95,16.0,OK
2025-09-12 14:52:55.887923,2025-09-12 14:52:55.937934,A100,1,1010.9999999999999,OK,2025-09-12 14:52:55.985945,A200,2,0.01187,OK,2025-09-12 14:52:55.989946,22.95,16.0,OK
2025-09-12 14:52:56.494390,2025-09-12 14:52:56.545401,A100,1,1010.9999999999999,OK,2025-09-12 14:52:56.594416,A200,2,0.011859999999999999,OK,2025-09-12 14:52:56.597417,22.95,16.0,OK
2025-09-12 14:52:57.100531,2025-09-12 14:52:57.153543,A100,1,1010.9999999999999,OK,2025-09-12 14:52:57.217558,A200,2,0.01183,OK,2025-09-12 14:52:57.220558,22.95,16.0,OK
2025-09-12 14:52:57.722830,2025-09-12 14:52:57.776843,A100,1,1010.9999999999999,OK,2025-09-12 14:52:57.840857,A200,2,0.011810000000000001,OK,2025-09-12 14:52:57.844858,22.95,16.0,OK
2025-09-12 14:52:58.360975,2025-09-12 14:52:58.416988,A100,1,1010.9999999999999,OK,2025-09-12 14:52:58.464999,A200,2,0.011779999999999999,OK,2025-09-12 14:52:58.469000,22.95,16.0,OK
2025-09-12 14:52:58.982533,2025-09-12 14:52:59.040547,A100,1,1010.9999999999999,OK,2025-09-12 14:52:59.088558,A200,2,0.011779999999999999,OK,2025-09-12 14:52:59.091558,22.95,16.0,OK
2025-09-12 14:52:59.603621,2025-09-12 14:52:59.664975,A100,1,1010.9999999999999,OK,2025-09-12 14:52:59.712986,A200,2,0.01183,OK,2025-09-12 14:52:59.715987,22.95,16.0,OK
2025-09-12 14:53:00.225108,2025-09-12 14:53:00.288123,A100,1,1010.9999999999999,OK,2025-09-12 14:53:00.352137,A200,2,0.011779999999999999,OK,2025-09-12 14:53:00.355138,22.95,16.0,OK
2025-09-12 14:53:00.862256,2025-09-12 14:53:00.912268,A100,1,1010.9999999999999,OK,2025-09-12 14:53:01.086307,A200,2,0.011770000000000001,OK,2025-09-12 14:53:01.109312,22.95,16.0,OK
2025-09-12 14:53:01.626430,2025-09-12 14:53:01.679442,A100,1,1010.9999999999999,OK,2025-09-12 14:53:01.743457,A200,2,0.01183,OK,2025-09-12 14:53:01.747458,22.95,16.0,OK
2025-09-12 14:53:02.282910,2025-09-12 14:53:02.405939,A100,1,1010.9999999999999,OK,2025-09-12 14:53:02.470952,A200,2,0.011770000000000001,OK,2025-09-12 14:53:02.475954,22.95,16.0,OK
2025-09-12 14:53:02.992071,2025-09-12 14:53:03.039082,A100,1,1010.9999999999999,OK,2025-09-12 14:53:03.102633,A200,2,0.01175,OK,2025-09-12 14:53:03.106633,22.95,16.0,OK
2025-09-12 14:53:03.621028,2025-09-12 14:53:03.679042,A100,1,1010.9999999999999,OK,2025-09-12 14:53:03.727053,A200,2,0.01176,OK,2025-09-12 14:53:03.731053,22.95,16.0,OK
2025-09-12 14:53:04.235455,2025-09-12 14:53:04.302471,A100,1,1010.9999999999999,OK,2025-09-12 14:53:04.350868,A200,2,0.01174,OK,2025-09-12 14:53:04.353868,22.95,16.0,OK
2025-09-12 14:53:04.857998,2025-09-12 14:53:04.910010,A100,1,1010.9999999999999,OK,2025-09-12 14:53:04.958021,A200,2,0.011850000000000001,OK,2025-09-12 14:53:04.962021,22.94,16.0,OK
2025-09-12 14:53:05.466215,2025-09-12 14:53:05.518226,A100,1,1010.9999999999999,OK,2025-09-12 14:53:05.582241,A200,2,0.011779999999999999,OK,2025-09-12 14:53:05.586242,22.94,16.0,OK
2025-09-12 14:53:06.086915,2025-09-12 14:53:06.141879,A100,1,1010.9999999999999,OK,2025-09-12 14:53:06.205893,A200,2,0.011779999999999999,OK,2025-09-12 14:53:06.208894,22.94,16.0,OK
2025-09-12 14:53:06.724603,2025-09-12 14:53:06.781611,A100,1,1010.9999999999999,OK,2025-09-12 14:53:06.829907,A200,2,0.011779999999999999,OK,2025-09-12 14:53:06.832918,22.94,16.0,OK
2025-09-12 14:53:07.344042,2025-09-12 14:53:07.405056,A100,1,1010.9999999999999,OK,2025-09-12 14:53:07.453067,A200,2,0.011770000000000001,OK,2025-09-12 14:53:07.457068,22.94,16.0,OK
2025-09-12 14:53:07.981190,2025-09-12 14:53:08.029202,A100,1,1010.9999999999999,OK,2025-09-12 14:53:08.141227,A200,2,0.011779999999999999,OK,2025-09-12 14:53:08.241250,22.94,16.0,OK
2025-09-12 14:53:08.760368,2025-09-12 14:53:08.812381,A100,1,1010.9999999999999,OK,2025-09-12 14:53:08.876396,A200,2,0.011770000000000001,OK,2025-09-12 14:53:08.880397,22.94,16.0,OK
