timestamp,config,hvps_mask,heat_mask,result
2026-07-24T12:24:10,207,YNYN,NNYY,o: nothing works
2026-07-24T12:24:15,208,NYYN,NNYY,o: nothing works
2026-07-24T12:24:20,209,YYYN,NNYY,o: nothing works
2026-07-24T12:25:04,210,NNNY,NNYY,o: tripped; heater always off
2026-07-24T12:25:20,211,YNNY,NNYY,o: tripped; heater always off
2026-07-24T12:25:28,212,NYNY,NNYY,o: tripped; heater always off
2026-07-24T12:25:35,213,YYNY,NNYY,o: tripped; heater always off
2026-07-24T12:25:42,214,NNYY,NNYY,o: nothing works
2026-07-24T12:25:46,215,YNYY,NNYY,o: nothing works
2026-07-24T12:25:51,216,NYYY,NNYY,o: nothing works
2026-07-24T12:26:01,217,YYYY,NNYY,o: nothing works
2026-07-24T12:26:23,218,NNNN,YNYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:26:30,219,YNNN,YNYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:26:38,220,NYNN,YNYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:26:49,221,YYNN,YNYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:26:54,222,NNYN,YNYY,o: nothing works
2026-07-24T12:26:59,223,YNYN,YNYY,o: nothing works
2026-07-24T12:27:03,224,NYYN,YNYY,o: nothing works
2026-07-24T12:27:08,225,YYYN,YNYY,o: nothing works
2026-07-24T12:27:23,226,NNNY,YNYY,o: tripped; heater always off
2026-07-24T12:27:30,227,YNNY,YNYY,o: tripped; heater always off
2026-07-24T12:27:35,228,NYNY,YNYY,o: tripped; heater always off
2026-07-24T12:27:54,229,YYNY,YNYY,o: tripped; heater always off
2026-07-24T12:28:08,230,NNYY,YNYY,o: nothing works
2026-07-24T12:28:14,231,YNYY,YNYY,o: nothing works
2026-07-24T12:28:19,232,NYYY,YNYY,o: nothing works
2026-07-24T12:28:23,233,YYYY,YNYY,o: nothing works
2026-07-24T12:28:53,234,NNNN,NYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:29:01,235,YNNN,NYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:29:10,236,NYNN,NYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:29:16,237,YYNN,NYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:29:21,238,NNYN,NYYY,o: nothing works
2026-07-24T12:29:25,239,YNYN,NYYY,o: nothing works
2026-07-24T12:29:30,240,NYYN,NYYY,o: nothing works
2026-07-24T12:29:34,241,YYYN,NYYY,o: nothing works
2026-07-24T12:29:54,242,NNNY,NYYY,o: tripped; heater always off
2026-07-24T12:30:00,243,YNNY,NYYY,o: tripped; heater always off
2026-07-24T12:30:05,244,NYNY,NYYY,o: tripped; heater always off
2026-07-24T12:30:14,245,YYNY,NYYY,o: tripped; heater always off
2026-07-24T12:30:19,246,NNYY,NYYY,o: nothing works
2026-07-24T12:30:24,247,YNYY,NYYY,o: nothing works
2026-07-24T12:30:27,248,NYYY,NYYY,o: nothing works
2026-07-24T12:30:32,249,YYYY,NYYY,o: nothing works
2026-07-24T12:30:52,250,NNNN,YYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:30:59,251,YNNN,YYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:31:06,252,NYNN,YYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:31:13,253,YYNN,YYYY,o: nothing tripped; heater always off; HV always on
2026-07-24T12:31:18,254,NNYN,YYYY,o: nothing works
2026-07-24T12:31:22,255,YNYN,YYYY,o: nothing works
2026-07-24T12:31:25,256,NYYN,YYYY,o: nothing works
2026-07-24T12:31:34,257,YYYN,YYYY,o: nothing works
2026-07-24T12:31:52,258,NNNY,YYYY,o: tripped; heater always off
2026-07-24T12:32:00,259,YNNY,YYYY,o: tripped; heater always off
2026-07-24T12:32:06,260,NYNY,YYYY,o: tripped; heater always off
2026-07-24T12:32:12,261,YYNY,YYYY,o: tripped; heater always off
2026-07-24T12:32:22,262,NNYY,YYYY,o: nothing works
2026-07-24T12:32:28,263,YNYY,YYYY,o: nothing works
2026-07-24T12:32:33,264,NYYY,YYYY,o: nothing works
2026-07-24T12:32:37,265,YYYY,YYYY,o: nothing works
